Color Name,Hex Code
Brick Red,#812A30
Russet,#752F25
Cranberry Red,#8C2334
Holly Berry,#9D2234
Ladybug,#A21828
Radish,#C32A3F
Rally Red,#D43132
Chili,#A24037
Baked Clay,#B84D3D
Persimmon,#C0533E
Tang,#F45633
Vermilion,#F45832
Blaze,#F95929
Marigold Orange,#FE7D3C
Pumpkin,#E07D20
Bronze,#9F6F2F
Amber Gold,#D9912B
Gold,#FCBE0B
Dijon,#DDAF3F
Dandelion,#FFD342
Honey Jar,#FDCC63
Harvest Peach,#F4C887
Sherbet,#FED9BC
Whip,#FDFCDD
Lemon Drop,#FBF4BD
Butter Yellow,#FEE68E
Dried Sage,#C3BE9E
Wheat Gold,#CCBC7E
Maize,#FDE674
Sunshine,#FEF576
Highlighter,#E0E026
Lime Sorbet,#DBF39B
Apple,#7AAF45
Wasabi,#9FA05A
Sage Olive,#A9A65F
Olive Drab,#796F3A
Acorn Brown,#7B6B3A
Loam,#5A523F
Army,#555233
Earth,#433F36
Bark Brown,#3C382F
Hunter Green,#2A3C2E
Deep Forest,#293A30
Ivy Green,#35593F
Basil,#77CB7D
Emerald Green,#02935C
Field,#087D2F
Honeydew Mist,#D8FAD7
Sea Breeze,#BBE0CE
Lagoon Mist,#99C5B8
Surf,#A3BCB6
Juniper Green,#7F8F85
Verdigris,#679094
Teal,#578B89
Caribbean,#02A9B1
Mint Green,#D2E3DB
Ocean,#028DC8
Deep Aqua,#00869C
Baltic,#2D6274
Harbor Blue,#175473
Slate Navy,#303843
Phantom,#2D2E40
Dark Storm,#2F2F3B
Deep Dusk,#2F3140
Lake,#185999
Regatta,#1A5893
Nautical,#015294
Pool,#B9E9ED
Seaglass Blue,#87B3C0
Laguna,#63A6B6
Pistachio Cream,#EDF6E5
Ice Grey,#D1DBDA
Wisp,#DFEBF9
Quarry,#93A2A9
Bluebird,#B0CAE1
Carolina,#77B7E5
Bluestone,#5C7186
Lilac Grey,#C1BAD9
Delphinium,#879DCC
Wisteria Ice,#C3B1D7
Petal Pink,#EADEE2
Silver Mist,#E2DCDE
Indigo Plum,#483B71
Purple Haze,#4E377B
Plum Jam,#413344
Dark Fig,#4B3645
Dark Raisin,#513237
Thistle Grey,#6B596F
Dried Orchid,#846584
Bramble,#7C667B
Blackcurrant,#7B2854
Primrose,#C177A8
Orchid Mist,#DFC6D9
Rosehip,#C3A29D
Heirloom,#AA8B91
Lavender Mist,#EDE7F3
Blush Pink,#F9E6E2
Blush Peach,#F7D5C9
Peach Bud,#FDCEC4
Pink Sand,#F3C0BD
Pink Lemonade,#FDC7D7
Strawberry Milk,#F9C1CC
Pink Pearl,#FDC9D5
Blush Mauve,#E0B9BC
Seashell,#E3BDB2
Peony Pink,#F8B2BC
Rose Petal,#E9ADAF
Warm Rose,#EEB0B1
Coral Sand,#F2B7AF
Salmon Rose,#F1A0A6
Tulip,#F4A0C4
Punch,#E8679D
Crunchberry,#D5407A
Cherry Blossom,#EB7C85
Mahogany Dark,#483634
Bark Taupe,#5E433A
Copper Leaf,#8A533E
Burnt Sienna,#9B5434
Caramel Brown,#945E3A
Adobe Clay,#9A6440
Pecan Brown,#75594D
Cinnamon Stick,#B9895B
Dulce,#B29063
Cocoa Dust,#6C5E51
Dune Stone,#907F6F
Sandbar,#C3B09F
Sahara,#D2BCA7
Macadamia,#F0E0D0
Linen White,#F2ECD4
Canvas,#F6EFD2
Cream White,#FDF7DF
Almond Milk,#DBCFC1
Polar,#F3F8FE
Chalk,#FAFAFA
Pumice Stone,#DBDBD9
Alloy,#A6AAAD
Agave,#A1A396
Sage Leaf,#79867F
Basalt,#686866
Dark Moss,#383D39
Graphite Dark,#2F3336
Oyster Shell,#CFC5BB
Trail Dust,#A19A88
Pewter Fog,#91908E
Phantom Gray,#868485
Dove Grey,#61605E
Stonewall,#56555A
Cast Iron,#4C4847
Dark Carbon,#333439
Dark Dusk,#32313F
Asphalt,#2D3037
Coal Black,#222021
Deep Black,#252223
,#712F31
,#852830
,#BB213B
,#1D4A43
,#0074A7
,#2D3238
,#2B3346
,#1B456B
,#E4F3F6
,#8CC4E5
,#FCD3D9
,#FFC9DC
,#4E403F
,#CAA988
,#F0E5C7
,#FBF6E3
,#F1F4FB
,#FBFAF6
,#222021
,d9d9d9
