id,fabricCode,colorCode
1,100% Cotton,Black #17
2,100% Cotton,Charcoal Grey #12
3,100% Cotton,Dark Indigo #16
4,100% Cotton,Deep Navy #14
5,100% Cotton,Dusty Pink #7
6,100% Cotton,Heather Grey #10
7,100% Cotton,Light Blue #3
8,100% Cotton,Light Grey #5
9,100% Cotton,Light Pink #6
10,100% Cotton,Light Sky Blue #2
11,100% Cotton,Light Slate Blue #9
12,100% Cotton,Midnight Blue #15
13,100% Cotton,Off White #1
14,100% Cotton,Olive Grey #11
15,100% Cotton,Peach Nude #18
16,100% Cotton,Powder Blue #4
17,100% Cotton,Rose Pink #8
18,100% Cotton,Wine Red #13
19,100% Cotton Oxford,Baby Pink with White Stripe - 314008-05
20,100% Cotton Oxford,Beige with White Stripe - F675-01
21,100% Cotton Oxford,Black and Blue Stripe - CVC3112-02
22,100% Cotton Oxford,Black and Green Stripe - CVC3112-05
23,100% Cotton Oxford,Black and Light Blue Stripe - CVC3112-09
24,100% Cotton Oxford,Black and Maroon Stripe - CVC3112-07
25,100% Cotton Oxford,Black and Mustard Stripe - CVC3112-06
26,100% Cotton Oxford,Black and Pink Stripe - CVC3112-04
27,100% Cotton Oxford,Black and Sky Blue Stripe - CVC3112-03
28,100% Cotton Oxford,Black and Teal Stripe - CVC3112-08
29,100% Cotton Oxford,Black and White Stripe - CVC3112-01
30,100% Cotton Oxford,Black with White Stripe - 310012-12
31,100% Cotton Oxford,Black with White Stripe - 314008-12
32,100% Cotton Oxford,Blue with White Stripe - 310012-04
33,100% Cotton Oxford,Blue with White Stripe - 314008-04
34,100% Cotton Oxford,Brown with White Stripe - 310012-10
35,100% Cotton Oxford,Burnt Orange with White Stripe - F675-04
36,100% Cotton Oxford,Camel with White Stripe - 314008-10
37,100% Cotton Oxford,Charcoal Grey with White Stripe - 312046-11
38,100% Cotton Oxford,Charcoal Grey with White Stripe - F675-05
39,100% Cotton Oxford,Coral Red with White Stripe - 314008-09
40,100% Cotton Oxford,Dark Grey with White Stripe - 310012-11
41,100% Cotton Oxford,Dark Grey with White Stripe - 312046-12
42,100% Cotton Oxford,Dark Grey with White Stripe - 314008-11
43,100% Cotton Oxford,Denim Blue with White Stripe - 312046-03
44,100% Cotton Oxford,Dusty Red with White Stripe - 310012-09
45,100% Cotton Oxford,Dusty Red with White Stripe - 312046-09
46,100% Cotton Oxford,Grey with White Stripe - 314008-01
47,100% Cotton Oxford,Lavender with White Stripe - 310012-06
48,100% Cotton Oxford,Lavender with White Stripe - 312046-06
49,100% Cotton Oxford,Light Blue with White Stripe - 310012-03
50,100% Cotton Oxford,Light Blue with White Stripe - 312046-02
51,100% Cotton Oxford,Light Blue with White Stripe - 314008-02
52,100% Cotton Oxford,Light Grey with White Stripe - 310012-01
53,100% Cotton Oxford,Light Grey with White Stripe - 312046-01
54,100% Cotton Oxford,Lilac with White Stripe - 314008-06
55,100% Cotton Oxford,Mint Green with White Stripe - 310012-08
56,100% Cotton Oxford,Mint Green with White Stripe - 312046-08
57,100% Cotton Oxford,Mint Green with White Stripe - 314008-08
58,100% Cotton Oxford,Pale Blue with White Stripe - 310012-02
59,100% Cotton Oxford,Peach Orange with White Stripe - 314008-07
60,100% Cotton Oxford,Pink with White Stripe - 310012-05
61,100% Cotton Oxford,Pink with White Stripe - 312046-05
62,100% Cotton Oxford,Royal Blue with White Stripe - 312046-04
63,100% Cotton Oxford,Sage Green with White Stripe - F675-02
64,100% Cotton Oxford,Sky Blue with White Stripe - 314008-03
65,100% Cotton Oxford,Sky Blue with White Stripe - F675-03
66,100% Cotton Oxford,Soft Orange with White Stripe - 310012-07
67,100% Cotton Oxford,Soft Orange with White Stripe - 312046-07
68,100% Cotton Oxford,Tan Beige with White Stripe - 312046-10
69,Custom Camo Print,Camouflage
70,Custom Leopard Print,Inventory Color - Chocolate
71,Custom Leopard Print,Inventory Color - Mocha
72,Custom Leopard Print,MTO Color - Chocolate
73,Custom Leopard Print,MTO Color - Mocha
74,DF6003#,Custom Color - Apple Green - #18
75,DF6003#,Custom Color - Apricot - #90
76,DF6003#,Custom Color - Army Green - #59
77,DF6003#,Custom Color - Ash Grey - #71
78,DF6003#,Custom Color - Baby Pink - #74
79,DF6003#,Custom Color - Beige - #4
80,DF6003#,Custom Color - Black - #112
81,DF6003#,Custom Color - Black - #114
82,DF6003#,Custom Color - Black - #67
83,DF6003#,Custom Color - Blush - #117
84,DF6003#,Custom Color - Blush Pink - #7
85,DF6003#,Custom Color - Brick Red - #82
86,DF6003#,Custom Color - Bright Blue - #29
87,DF6003#,Custom Color - Bright Blue - #86
88,DF6003#,Custom Color - Bright Red - #103
89,DF6003#,Custom Color - Bright Red - #45
90,DF6003#,Custom Color - Burnt Orange - #44
91,DF6003#,Custom Color - Camel - #35
92,DF6003#,Custom Color - Charcoal Grey - #61
93,DF6003#,Custom Color - Chocolate Brown - #111
94,DF6003#,Custom Color - Cobalt Blue - #54
95,DF6003#,Custom Color - Cool Grey - #25
96,DF6003#,Custom Color - Coral Pink - #37
97,DF6003#,Custom Color - Cream - #5
98,DF6003#,Custom Color - Cream Beige - #89
99,DF6003#,Custom Color - Crimson Red - #56
100,DF6003#,Custom Color - Dark Brown - #110
101,DF6003#,Custom Color - Dark Brown - #65
102,DF6003#,Custom Color - Dark Green - #58
