id,style,fabricCode,sourceDescription
1,FP100,Taisum #0472 260G,FP100 Lindsey Fold-over Lounge Shorts
2,FP101,Taisum #0472 260G,FP101 Katie Fold-over Flared Pants
3,FP102,Taisum #1033,FP102 - Retro Crewneck
4,FP103,Taisum #1033,FP103 - Varsity Crewneck
5,FP104,Taisum #0472 260G,FP104 - Polka Dot Sporty Set Shorts
6,FP105,Taisum #0472 260G,FP105 - Polka Dot Basic Sporty Tee
7,FP106,Taisum #0472 260G,FP106 - Polka Dot Flared Pants
8,FP107,Custom Leopard Print,FP107 - Leopard Print Shorts
9,FP108,Custom Leopard Print,FP108 - Leopard Print Crewneck
10,FP109,Custom Leopard Print,FP109 - Leopard Print Heavy weight Hoodie
11,FP110,Custom Leopard Print,FP110 - Leopard Print Heavy Weight Pants
12,FP111,Custom Leopard Print,FP111 - Leopard Print Heavy Weight Mockneck
13,FP112,Ju Feng #B1750,FP112 Boston Vintage Dye Hoodie
14,FP113,Ju Feng #B1750,FP113 Denver Vintage Dye Mock Neck Sweatshirt
15,FP114,Ju Feng #B1750,FP114 Vintage Dye Open Sweatpants
16,FP115,Ju Feng #B1750,FP115 Miami Vintage Dye Shorts
17,FP116,Taisum #0472 260G,FP116 Shay Off the Shoulder Tank
18,FP117,Taisum #0472 260G,FP117 Chloe Off the Shoulder Top
19,FP118,Taisum #1033,FP118 - Boston Heavyweight Color Block Hoodie
20,FP119,Daxin #CM3108,FP119 - Savannah Midweight Sweat Shorts
21,FP119,Hua Fang #8039,FP119 - Savannah Midweight Sweat Shorts
22,FP119,Hua Fang #J9228,FP119 - Savannah Midweight Sweat Shorts
23,FP119,Huayilong #17,FP119 - Savannah Midweight Sweat Shorts
24,FP120,Daxin #CM3108,FP120 - Atlanta Midweight Sweatpants
25,FP120,Hua Fang #8039,FP120 - Atlanta Midweight Sweatpants
26,FP120,Hua Fang #J9228,FP120 - Atlanta Midweight Sweatpants
27,FP120,Huayilong #17,FP120 - Atlanta Midweight Sweatpants
28,FP121,Taisum #0472 260G,FP121 - Hailey Scoop Tank
29,FP122,Taisum #0472 260G,FP122 - Bailey Layered Tank
30,FP122,Zhanye C32128,FP122 - Bailey Layered Tank
31,FP123,Jufeng #B1722,FP123 - Denver Heavyweight Color Block Mock Neck
32,FP123,Taisum #1033,FP123 - Denver Heavyweight Color Block Mock Neck
33,FP124,Taisum #0472 260G,FP124 - Riley Halter Layered Tank
34,FP125,Jufeng #B1722,FP125 - Fiji Heavyweight Zip Hoodie
35,FP125,Taisum #1033,FP125 - Fiji Heavyweight Zip Hoodie
36,FP126,Jufeng #B1722,FP126 - Fresh Prints Maui Cropped Zip Hoodie
37,FP126,Taisum #1033,FP126 - Fresh Prints Maui Cropped Zip Hoodie
38,FP127,Jufeng #B1722,FP127 - Cabo Heavyweight Low Waist Sweatpants
39,FP127,Taisum #1033,FP127 - Cabo Heavyweight Low Waist Sweatpants
40,FP128,Jufeng #B1722,FP128 - Malibu Heavyweight Low Waist Sweatshorts
41,FP128,Taisum #1033,FP128 - Malibu Heavyweight Low Waist Sweatshorts
42,FP129,TX086 XYD DTG 420G,FP129 - Fresh Prints Boston Graphic Heavyweight Hoodie
43,FP129,Taisum #1033,FP129 - Fresh Prints Boston Graphic Heavyweight Hoodie
44,FP129,XinCaiFeng 18001 460 G,FP129 - Fresh Prints Boston Graphic Heavyweight Hoodie
45,FP129,XinCaiFeng 18732 460 G,FP129 - Fresh Prints Boston Graphic Heavyweight Hoodie
46,FP130,TX086 XYD DTG 420G,FP130 - Fresh Prints Chicago Graphic Heavyweight Crewneck
47,FP130,Taisum #1033,FP130 - Fresh Prints Chicago Graphic Heavyweight Crewneck
48,FP130,XinCaiFeng 18001 460 G,FP130 - Fresh Prints Chicago Graphic Heavyweight Crewneck
49,FP130,XinCaiFeng 18732 460 G,FP130 - Fresh Prints Chicago Graphic Heavyweight Crewneck
50,FP131,TX086 XYD DTG 420G,FP131 - Fresh Prints Miami Graphic Heavyweight Shorts
51,FP131,Taisum #1033,FP131 - Fresh Prints Miami Graphic Heavyweight Shorts
52,FP131,XinCaiFeng 18001 460 G,FP131 - Fresh Prints Miami Graphic Heavyweight Shorts
53,FP131,XinCaiFeng 18732 460 G,FP131 - Fresh Prints Miami Graphic Heavyweight Shorts
54,FP132,TX086 XYD DTG 420G,FP132 - Fresh Prints San Diego Graphic Heavyweight Sweatpants
55,FP132,Taisum #1033,FP132 - Fresh Prints San Diego Graphic Heavyweight Sweatpants
56,FP132,XinCaiFeng 18001 460 G,FP132 - Fresh Prints San Diego Graphic Heavyweight Sweatpants
57,FP132,XinCaiFeng 18732 460 G,FP132 - Fresh Prints San Diego Graphic Heavyweight Sweatpants
58,FP133,TX086 XYD DTG 420G,FP133 - Fresh Prints Denver Graphic Mockneck Sweatshirt
59,FP133,Taisum #1033,FP133 - Fresh Prints Denver Graphic Mockneck Sweatshirt
60,FP133,XinCaiFeng 18001 460 G,FP133 - Fresh Prints Denver Graphic Mockneck Sweatshirt
61,FP133,XinCaiFeng 18732 460 G,FP133 - Fresh Prints Denver Graphic Mockneck Sweatshirt
62,FP134,Taisum #0472 260G,FP134 - Shelby Backless Halter Top
63,FP135,Taisum #0472 260G,FP135 - Lexi Drawstring Mini Skort
64,FP136,Jufeng #B1722,FP136 - Olympia Heavyweight Track Jacket
65,FP136,Taisum #1033,FP136 - Olympia Heavyweight Track Jacket
66,FP137,Jufeng #B1722,FP137 - Cabo Heavyweight Color Block Low Waist Sweatpants
67,FP137,Taisum #1033,FP137 - Cabo Heavyweight Color Block Low Waist Sweatpants
68,FP138,Jufeng #B1722,FP138 - Malibu Heavyweight Low Waist Color Block Sweatshorts
69,FP138,Taisum #1033,FP138 - Malibu Heavyweight Low Waist Color Block Sweatshorts
70,FP139,Jufeng #B1722,FP139 - Miami Heavyweight Color Block Shorts
71,FP139,Taisum #1033,FP139 - Miami Heavyweight Color Block Shorts
72,FP140,Jufeng #B1722,FP140 San Diego Open Heavyweight Color Block Sweatpants
73,FP140,Taisum #1033,FP140 San Diego Open Heavyweight Color Block Sweatpants
74,FP16,Daxin #CM3108,FP16 Madison Shorts
75,FP16,Hua Fang #8039,FP16 Madison Shorts
76,FP16,Hua Fang #J9228,FP16 Madison Shorts
77,FP16,Huayilong #17,FP16 Madison Shorts
78,FP18,Hua Fang #8039,FP18 Houston Crewneck Sweatshirt
79,FP18,Hua Fang #J9228,FP18 Houston Crewneck Sweatshirt
80,FP18,Huayilong #17,FP18 Houston Crewneck Sweatshirt
81,FP20,Daxin #CM3108,FP20 Bond Street Hoodie
82,FP20,Hua Fang #8039,FP20 Bond Street Hoodie
83,FP20,Hua Fang #J9228,FP20 Bond Street Hoodie
84,FP20,Huayilong #17,FP20 Bond Street Hoodie
85,FP21,Daxin #CM3108,FP21 Gramercy Sweatpants
86,FP21,Hua Fang #8039,FP21 Gramercy Sweatpants
87,FP21,Hua Fang #J9228,FP21 Gramercy Sweatpants
88,FP21,Huayilong #17,FP21 Gramercy Sweatpants
89,FP28,Taisum #0690,FP28 Sunset Ribbed T-shirt
90,FP29,Taisum #0690,FP29 Melrose Ribbed Tank Top
91,FP38,Dongsheng Hengwang #13208 220G,FP38 Mini Tee
92,FP51,Daxin #CM3108,FP51 Park Ave Open Sweatpants
93,FP51,Hua Fang #8039,FP51 Park Ave Open Sweatpants
94,FP51,Hua Fang #J9228,FP51 Park Ave Open Sweatpants
95,FP51,Huayilong #17,FP51 Park Ave Open Sweatpants
96,FP52,Dongsheng Hengwang #13208 220G,FP52 Cali Camisole Top
97,FP53,Hua Fang #8039,FP53 Spring St Ladies Zip Up Hoodie
98,FP53,Hua Fang #J9228,FP53 Spring St Ladies Zip Up Hoodie
99,FP55,Taisum #0690,FP55 Sunset Blvd Ribbed Scoop Tank Top
100,FP81,Dongsheng Hengwang #13208 220G,FP81 Marilyn Tank Top
101,FP82,Dongsheng Hengwang #13208 220G,FP82 Sydney Square Neck Tank Top
102,FP83,Custom Camo Print,FP83 Boston Camo Heavyweight Hoodie
103,FP84,Custom Camo Print,FP84 Chicago Camo Heavyweight Crewneck
104,FP85,Custom Camo Print,FP85 Boston Camo Heavyweight Hoodie
105,FP86,Custom Camo Print,FP86 Miami Camo Heavyweight Shorts
106,FP87,Jufeng #B1722,FP87 Boston Heavyweight Hoodie
107,FP87,Taisum #1033,FP87 Boston Heavyweight Hoodie
108,FP88,Jufeng #B1722,FP88 Chicago Heavyweight Crewneck
109,FP88,Taisum #1033,FP88 Chicago Heavyweight Crewneck
110,FP89,Jufeng #B1722,FP89 Miami Heavyweight Shorts
111,FP89,Taisum #1033,FP89 Miami Heavyweight Shorts
