Style Code,Product,Supplier Name,Sales Rep,Email,Current Supplier,Standard shipping MOQ,Economy Shipping MOQ,V4 Blanks Sea Price,V4 Blanks Air Price,Air Ship Price,Sea Ship Price,Bulk Production Timeline,Air Shipping Timeline,Sea Shipping Timeline,Weights
FP96,Naomi Slim Fit Y2K Shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$10.30,,$7.23,$5.42,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP96,Naomi Slim Fit Y2K Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,70 Units,$10.30,,$5.40,$4.20,10-14 days (4 week MTO),16 days,35-50 days,
FP96,Naomi Slim Fit Y2K Shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,70 Units,$10.30,,$5.00,$4.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP96,Naomi Slim Fit Y2K Shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,70 Units,$10.30,,$7.70,$6.70,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP96,Naomi Slim Fit Y2K Shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$10.30,,$5.38,$4.55,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP96,Naomi Slim Fit Y2K Shirt," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,,50 units - MTO and Custom Colors,70 Units,$10.30,,$5.50,$4.75,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$10.60,,$7.23,$5.42,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,70 Units,$10.60,,$5.40,$4.20,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt,"Fuzhou Sandian Garment Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,70 Units,$10.60,,$5.50,$4.50,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$10.60,,$5.38,$4.55,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,70 Units,$10.60,,$5.50,$4.75,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP97,Simone Slim Fit Ringer Shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,Not Preferred,50 units - MTO and Custom Colors,70 Units,$10.60,,$8.20,$7.20,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$11.00,,$8.15,$6.25,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,70 Units,$11.00,,$6.20,$5.00,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.50,$4.50,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.38,$4.55,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.50,$4.75,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP98,Simone Striped Slim Fit Ringer Shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,Not Preferred,50 units - MTO and Custom Colors,70 Units,$11.00,,$8.60,$7.60,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$11.00,,$7.23,$5.42,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,70 Units,$11.00,,$6.35,$5.15,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.50,$4.50,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.38,$4.55,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,70 Units,$11.00,,$5.50,$4.75,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP99,Serena Slim Fit Raglan Shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,Not Preferred,50 units - MTO and Custom Colors,70 Units,$11.00,,$8.20,$7.20,10-14 days (4 week MTO),16 days,35-50 days,0.20 KGS
FP100,Lindsey Fold-over Lounge Shorts,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,85 Units,$11.80,,$7.84,$5.97,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP100,Lindsey Fold-over Lounge Shorts,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,85 Units,$11.80,,$5.70,$4.85,10-14 days (4 week MTO),16 days,35-50 days,
